"Zeitstempel","1.1. What is your age?","1.2. What is your gender?","1.3. What is your main field of study?","1.4. What is your current academic status?","1.5. Have you taken any courses related to AI, machine learning, or data science?","1.6. How long have you been actively using AI tools such as ChatGPT, Copilot, or Gemini?","2.1. How often do you use AI tools such as ChatGPT, Copilot, or Gemini?","2.2. In a typical week, approximately how much time do you spend using AI tools?","2.3. Overall, how confident do you feel in your ability to use AI tools effectively?","2.4. What is 4 + 4? Please type the number and answer correctly","2.5. To what extent do you feel you know about AI?","3.1. What is a key criterion for the quality of a model in machine learning?","3.2. How does supervised learning differ from unsupervised learning?","3.3. What should be considered in machine learning when dividing the data into training and test data?","3.4. How can humans influence the outcome of machine learning?","3.5. To what extent can humans influence the outcome of machine learning?","3.6. What determines the behavior of AI systems?","3.7. Why can systems based on machine learning obtain good results?","3.8. What data do AI-based recommender systems of streaming services use?","3.9. You are testing a machine learning model that is supposed to classify photos of animals. You notice that the model is better at recognizing cats than dogs. What could be the reason for this?","3.10. What is the black box problem?","3.11. What are central risks in using AI for predictive policing?","3.12. Of the previous 11 questions, approximately how many do you think you answered correctly?","Competence Trust and Perceived Risk [4.1. The AI tools are reliable.]","Competence Trust and Perceived Risk [4.2. I think that AI tools are competent and perform their tasks well.]","Competence Trust and Perceived Risk [4.3. I think that AI tools perform their role very well.]","Competence Trust and Perceived Risk [4.4. I believe AI tools can do everything I would expect them to.]","Competence Trust and Perceived Risk [4.5. I can trust the information presented to me by AI tools.]","Competence Trust and Perceived Risk [4.6. AI tools are fast and efficient.]","Competence Trust and Perceived Risk [4.7. The AI tools are deceptive. (R)]","Competence Trust and Perceived Risk [4.8. The AI tools behave in an underhanded manner. (R)]","Competence Trust and Perceived Risk [4.9. I am suspicious of the AI tools' intent, action, or outputs. (R)]","Competence Trust and Perceived Risk [4.10. The AI tools' actions could lead to harmful outcomes. (R)]","Competence Trust and Perceived Risk [4.11. It is risky to interact with AI tools. (R)]","Competence Trust and Perceived Risk [4.12. ATTENTION CHECK. Please select 'Agree' for this item.]","How much would you trust AI in each of the following situations? [5.1. General knowledge questions (e.g., factual lookups)]","How much would you trust AI in each of the following situations? [5.2. Learning or study-related tasks]","How much would you trust AI in each of the following situations? [5.3. Writing academic work (essays, papers, reports)]","How much would you trust AI in each of the following situations? [5.4. Programming or technical tasks]","How much would you trust AI in each of the following situations? [5.5. Professional or work-related tasks]","How much would you trust AI in each of the following situations? [5.6. Health-related questions]","How much would you trust AI in each of the following situations? [5.7. Personal advice or life decisions]","How much would you trust AI in each of the following situations? [5.8. News and current events]"
"2026/06/04 5:50:46 PM MEZ","25","Male","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","More than 2 years","Multiple times per day","1–3 hours","4","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","a) Dogs are more difficult to recognize than cats, since there are fewer images of dogs on the internet","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","9","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","1 - Strongly disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","5 - Strongly agree","4 - Agree","4 - Agree","4","4","3","4","3","2","2","2"
"2026/06/04 5:53:22 PM MEZ","22","Female","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","1–2 years","A few times a week","1–3 hours","4","8","4","a) It can predict the output values of the test data as well as possible","c) In supervised learning, all computational steps are documented","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","7","4 - Agree","4 - Agree","4 - Agree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","4 - Agree","3","3","2","4","1 - Not at all","2","2","4"
"2026/06/04 6:11:56 PM MEZ","23","Female","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","1–2 years","Daily","Less than 30 minutes","4","8","5","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","d) Only one's own data when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","11","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","1 - Strongly disagree","2 - Disagree","3 - Neither agree nor disagree","5 - Strongly agree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","3","3","1 - Not at all","3","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all"
"2026/06/04 10:57:58 PM MEZ","24","Male","Engineering/Technology","Graduate working","No","1–2 years","A few times a week","1–3 hours","4","8","3","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","c) The test data should be of higher quality than the training data","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","b) All data that a user of the service leaves on the internet","a) Dogs are more difficult to recognize than cats, since there are fewer images of dogs on the internet","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","11","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4","4","4","4","4","4","4","5 - Completely"
"2026/06/05 12:44:22 AM MEZ","26","Male","Economics/Econometrics","Master's student","Yes (2–3 courses)","1–2 years","Daily","3–7 hours","4","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","a) Dogs are more difficult to recognize than cats, since there are fewer images of dogs on the internet","e) I don't know","b) Discrimination against suspects based on origin and status","9","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","1 - Strongly disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","2 - Disagree","4 - Agree","4","4","3","4","3","2","1 - Not at all","2"
"2026/06/05 1:36:25 AM MEZ","27","Male","Computer Science/Informatics","PhD student","Yes (>3 courses)","More than 2 years","Multiple times per day","More than 7 hours","5","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","e) I don't know","e) I don't know","b) The results can only be influenced when selecting the data the model learns with","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","6","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4 - Agree","1 - Strongly disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4","3","3","4","3","1 - Not at all","2","1 - Not at all"
"2026/06/05 1:43:18 AM MEZ","29","Male","Computer Science/Informatics","Graduate working","No","1–2 years","Daily","1–3 hours","3","8","2","e) I don't know","e) I don't know","d) The training and test data should be as different from each other as possible","b) Randomized division into test and training data","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","d) Only one's own data when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","3","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","1 - Strongly disagree","1 - Strongly disagree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4","3","2","3","2","3","1 - Not at all","2"
"2026/06/05 3:16:28 AM MEZ","24","Male","Business/Management/Marketing","Undergraduate","No","1–2 years","A few times a week","1–3 hours","3","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","d) Abstraction of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","6","4 - Agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","4 - Agree","5 - Strongly agree","2 - Disagree","1 - Strongly disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4","4","4","5 - Completely","4","3","3","4"
"2026/06/05 9:20:05 AM MEZ","40","Female","Computer Science/Informatics","Assistant Professor","No","1–2 years","A few times a week","Less than 30 minutes","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","d) They are derived from expert systems in which expert knowledge is stored","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","9","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","1 - Strongly disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","2 - Disagree","4 - Agree","4","3","3","4","2","2","1 - Not at all","3"
"2026/06/05 9:20:06 AM MEZ","20","Female","Computer Science/Informatics","Undergraduate","Yes (1 course)","6–12 months","Daily","30–60 minutes","4","8","3","c) It is as well adapted as possible to the training data","a) In supervised learning, the output values of the training data are known","c) The test data should be of higher quality than the training data","d) Abstraction of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","e) I don't know","d) The training data for dogs were not representative of all dog breeds","c) Users are often not informed about the application of AI","e) I don't know","5","2 - Disagree","4 - Agree","2 - Disagree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","4 - Agree","4","3","3","4","2","2","2","4"
"2026/06/05 10:05:00 AM MEZ","19","Male","Computer Science/Informatics","Undergraduate","Yes (1 course)","1–2 years","A few times a week","1–3 hours","4","8","3","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","b) The data should be randomly divided into training and test data sets","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","7","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","4 - Agree","3","4","3","4","2","3","2","3"
"2026/06/05 10:12:38 AM MEZ","19","Male","Computer Science/Informatics","Undergraduate","No","6–12 months","Daily","1–3 hours","4","8","2","a) It can predict the output values of the test data as well as possible","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","e) I don't know","1","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","4 - Agree","4","3","2","3","3","3","2","2"
"2026/06/05 10:20:52 AM MEZ","22","Male","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","More than 2 years","Multiple times per day","More than 7 hours","4","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","9","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","4","5 - Completely","4","5 - Completely","4","3","3","2"
"2026/06/05 11:10:04 AM MEZ","23","Female","Computer Science/Informatics","Master's student","No","1–2 years","Multiple times per day","1–3 hours","4","8","2","c) It is as well adapted as possible to the training data","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","e) I don't know","e) I don't know","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","2","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4","3","3","4","3","3","1 - Not at all","4"
"2026/06/05 12:52:20 PM MEZ","29","Female","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","More than 2 years","Less than once a month","I don't use them weekly","2","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","9","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","2","4","2","3","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all"
"2026/06/05 1:16:58 PM MEZ","26","Male","Engineering/Technology","PhD student","Yes (>3 courses)","1–2 years","Multiple times per day","1–3 hours","2","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","11","2 - Disagree","2 - Disagree","2 - Disagree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","1 - Strongly disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4","4","2","2","2","2","2","4"
"2026/06/05 1:45:03 PM MEZ","24","Male","Computer Science/Informatics","Undergraduate","Yes (2–3 courses)","More than 2 years","Daily","1–3 hours","3","8","4","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","c) The test data should be of higher quality than the training data","c) Selection of the model","c) Humans can influence the result during development at several process steps","a) AI systems strive for autonomy","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","5","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","3","4","2","3","3","3","3","3"
"2026/06/05 2:01:24 PM MEZ","34","Female","Computer Science/Informatics","Graduate working","Yes (1 course)","More than 2 years","Multiple times per day","3–7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","8","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4","4","4","4","4","2","3","2"
"2026/06/05 3:40:35 PM MEZ","46","Male","Computer Science/Informatics","PhD student","No","Less than 6 months","Daily","More than 7 hours","4","8","2","c) It is as well adapted as possible to the training data","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","b) The data should be randomly divided into training and test data sets","c) Selection of the model","b) The results can only be influenced when selecting the data the model learns with","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","a) Vulnerability to hacking","8","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","1 - Strongly disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","5 - Strongly agree","3 - Neither agree nor disagree","4 - Agree","4","4","3","4","3","3","2","2"
"2026/06/05 5:17:12 PM MEZ","23","Male","Physics","Graduate working","No","More than 2 years","Multiple times per day","3–7 hours","2","8","1","d) The predictions are as unambiguous as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","6","4 - Agree","4 - Agree","3 - Neither agree nor disagree","1 - Strongly disagree","1 - Strongly disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4","3","4","5 - Completely","2","1 - Not at all","2","1 - Not at all"
"2026/06/05 5:27:40 PM MEZ","24","Female","Health/Medicine/Psychology","Master's student","No","1–2 years","Daily","Less than 30 minutes","3","8","2","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) Humans can only influence the interpretation of the results","b) AI systems pursue a goal that has been given to them by humans","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","1","4 - Agree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4","4","2","4","3","2","2","2"
"2026/06/05 5:54:43 PM MEZ","29","Male","Computer Science/Informatics","PhD student","Yes (1 course)","1–2 years","Multiple times per day","1–3 hours","5","8","3","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","a) The data should be divided into parts of as equal size as possible","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","10","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","1 - Strongly disagree","1 - Strongly disagree","1 - Strongly disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4","4","3","5 - Completely","3","3","2","3"
"2026/06/05 11:46:08 PM MEZ","23","Male","Computer Science/Informatics","Master's student","Yes (>3 courses)","More than 2 years","Multiple times per day","3–7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","b) The data should be randomly divided into training and test data sets","c) Selection of the model","b) The results can only be influenced when selecting the data the model learns with","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","a) The data of every user when using the service","a) Dogs are more difficult to recognize than cats, since there are fewer images of dogs on the internet","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","11","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3","4","4","4","4","3","2","2"
"2026/06/06 7:46:44 AM MEZ","24","Male","AI/Data Science/Machine Learning","Graduate working","Yes (2–3 courses)","More than 2 years","Multiple times per day","3–7 hours","4","8","3","c) It is as well adapted as possible to the training data","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","b) All data that a user of the service leaves on the internet","b) Small objects, such as cats, are better recognized than large ones, such as dogs","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","7","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","3","4","3","4","4","2","4","3"
"2026/06/06 11:30:11 AM MEZ","19","Female","Computer Science/Informatics","Undergraduate","Yes (1 course)","6–12 months","A few times a week","30–60 minutes","4","8","2","e) I don't know","a) In supervised learning, the output values of the training data are known","a) The data should be divided into parts of as equal size as possible","c) Selection of the model","d) Humans can only influence the interpretation of the results","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","4","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","4 - Agree","4 - Agree","1 - Not at all","3","1 - Not at all","4","4","3","1 - Not at all","2"
"2026/06/06 1:01:35 PM MEZ","35","Female","Computer Science/Informatics","PhD student","Yes (>3 courses)","I don't use them","Never or almost never","I don't use them weekly","4","8, assuming a decimal base.","5","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","10 to 11","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","2","2","1 - Not at all","4","3","1 - Not at all","1 - Not at all","2"
"2026/06/08 9:10:13 AM MEZ","22","Male","Health/Medicine/Psychology","Master's student","No","More than 2 years","A few times a week","30–60 minutes","4","8 ","3","c) It is as well adapted as possible to the training data","e) I don't know","b) The data should be randomly divided into training and test data sets","e) I don't know","e) I don't know","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","b) Small objects, such as cats, are better recognized than large ones, such as dogs","b) It is often difficult to determine how AI makes decisions","e) I don't know","4","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","5 - Completely","3","3","2","3","2","1 - Not at all","3"
"2026/06/08 12:00:20 PM MEZ","36","Female","AI/Data Science/Machine Learning","Graduate working","Yes (2–3 courses)","1–2 years","Multiple times per day","1–3 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","9","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","1 - Strongly disagree","1 - Strongly disagree","4 - Agree","4","4","3","4","4","4","4","4"
"2026/06/08 3:16:08 PM MEZ","24","Female","Social Sciences","Undergraduate","No","I don't use them","Never or almost never","I don't use them weekly","2","8","2","e) I don't know","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","e) I don't know","b) Randomized division into test and training data","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","9","2 - Disagree","2 - Disagree","1 - Strongly disagree","1 - Strongly disagree","1 - Strongly disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","2","2","2","3","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all"
"2026/06/08 4:54:57 PM MEZ","22","Male","Computer Science/Informatics","Master's student","Yes (>3 courses)","More than 2 years","Multiple times per day","More than 7 hours","5","8","4","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","d) The training and test data should be as different from each other as possible","e) I don't know","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","7","4 - Agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","2 - Disagree","5 - Strongly agree","1 - Strongly disagree","3 - Neither agree nor disagree","4","4","4","4","4","2","4","2"
